,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bn,param_dropout,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,6989.144904375076,10.589449405670166,1.0676168203353882,0.004176735877990723,true,0.0,"{'bn': 'true', 'dropout': 0.0}",0.8177610333563822,0.8171151775846697,0.817438105470526,0.0003229278858562501,5,1.0,1.0,1.0,0.0
1,7780.217102646828,56.818002820014954,1.1441028118133545,0.002593994140625,true,0.1,"{'bn': 'true', 'dropout': 0.1}",0.8233584499461787,0.8305705059203444,0.8269644779332616,0.0036060279870828715,2,0.9973089343379978,0.9978471474703983,0.9975780409041981,0.0002691065662002168
2,7892.74695956707,26.232463479042053,1.179416298866272,0.004814028739929199,true,0.2,"{'bn': 'true', 'dropout': 0.2}",0.8135629709621549,0.8047362755651238,0.8091496232636394,0.004413347698515535,6,0.9900968783638321,0.9838536060023231,0.9869752421830775,0.0031216361807545057
3,7976.807191729546,16.976250290870667,1.1900399923324585,0.0024117231369018555,true,0.3,"{'bn': 'true', 'dropout': 0.3}",0.8089343379978472,0.8018299246501615,0.8053821313240043,0.003552206673842873,7,0.9697524219590958,0.9727664155005382,0.971259418729817,0.0015069967707211918
4,8094.322353959084,34.72837054729462,1.213305115699768,0.014196991920471191,true,0.4,"{'bn': 'true', 'dropout': 0.4}",0.5881593110887945,0.5815931108847373,0.5848762109867659,0.003283100102028591,11,0.6433799784458107,0.614962325093564,0.6291711517696874,0.014208826676123387
5,8181.169198155403,29.250757813453674,1.2545064687728882,0.0025521516799926758,true,0.5,"{'bn': 'true', 'dropout': 0.5}",0.44628632938643703,0.4503767492055123,0.4483315392959747,0.002045209909537632,12,0.4804090420062883,0.45317545748437055,0.4667922497453294,0.013616792260958882
6,3887.6961419582367,11.516823053359985,0.840725302696228,0.008141875267028809,false,0.0,"{'bn': 'false', 'dropout': 0.0}",0.8186221743938868,0.8245425188374597,0.8215823466156733,0.0029601722217864057,3,1.0,1.0,1.0,0.0
7,4788.271495342255,7.909813404083252,0.859055757522583,0.023473262786865234,false,0.1,"{'bn': 'false', 'dropout': 0.1}",0.8299246501358,0.8293864370290636,0.8296555435824318,0.00026910655336820355,1,0.9983853606027987,0.9993541442411195,0.9988697524219591,0.0004843918191603791
8,4491.4670087099075,204.59624302387238,0.8685544729232788,0.03864181041717529,false,0.2,"{'bn': 'false', 'dropout': 0.2}",0.8191603875134553,0.8234660925726588,0.8213132400430571,0.0021528525296017342,4,0.9896663078579118,0.9910656620021528,0.9903659849300324,0.0006996770721205414
9,4872.722804903984,3.6989611387252808,0.9131720066070557,0.0027544498443603516,false,0.3,"{'bn': 'false', 'dropout': 0.3}",0.807534983827942,0.7682454251883746,0.7878902045081583,0.0196447793197837,8,0.968675995694295,0.948762109795479,0.958719052744887,0.009956942949407965
10,4876.625194072723,25.06934404373169,1.1142172813415527,0.17117857933044434,false,0.4,"{'bn': 'false', 'dropout': 0.4}",0.7761033369085889,0.7744886975242196,0.7752960172164043,0.0008073196921846716,9,0.9246501614639397,0.8980624326976945,0.9113562970808171,0.013293864383122633
11,4952.243811368942,16.36746072769165,0.9413437843322754,0.00013780593872070312,false,0.5,"{'bn': 'false', 'dropout': 0.5}",0.6716899892229053,0.6793326157158235,0.6755113024693644,0.0038213132464590682,10,0.732508073196986,0.7291711517761034,0.7308396124865446,0.0016684607104412996
