,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_layer_num,param_nb_hidden,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,665.9370621442795,1.2740622758865356,2.4025498628616333,0.0026236772537231445,1,300,"{'layer_num': 1, 'nb_hidden': 300}",0.18539452224619563,0.18385309749465567,0.18462382070675673,0.0007707123756937971,25,0.44602232783356505,0.4554861931291717,0.45075426048136835,0.004731932647803333
1,665.0997565984726,5.170606017112732,2.3887953758239746,0.03197121620178223,1,400,"{'layer_num': 1, 'nb_hidden': 400}",0.17597435464863903,0.2040718764941214,0.1900229180437039,0.014048760921352548,24,0.4306403082053206,0.5024183116810078,0.4665293099431642,0.035889001737843595
2,653.3795132637024,1.2353425025939941,2.3953665494918823,0.024763941764831543,1,500,"{'layer_num': 1, 'nb_hidden': 500}",0.20426297733703405,0.19847585838460396,0.2013694585446973,0.002893559475929033,16,0.5213014257200248,0.49114223047240324,0.5062218280962141,0.015079597623810781
3,658.7733778953552,2.329310417175293,2.444441795349121,0.002973794937133789,1,600,"{'layer_num': 1, 'nb_hidden': 600}",0.18598504021481382,0.21051151542441018,0.19824810539666016,0.012263237603586033,19,0.4713590731427632,0.5393678645812502,0.5053634688620067,0.03400439571924349
4,663.053644657135,0.8150317668914795,2.440023422241211,0.00022602081298828125,1,700,"{'layer_num': 1, 'nb_hidden': 700}",0.1973736010381646,0.20955541182777343,0.20346442079392968,0.00609090539420237,15,0.512893338208425,0.5318879703020299,0.5223906542552275,0.009497316046802484
5,706.3334366083145,1.3650704622268677,2.591320276260376,0.009974241256713867,2,300,"{'layer_num': 2, 'nb_hidden': 300}",0.19844215736233084,0.18331880430809033,0.19088058715351167,0.007561676526372828,23,0.62866623548772,0.5322816489511276,0.5804739422194238,0.048192293268296216
6,711.898756980896,2.2658252716064453,2.6248332262039185,0.0004636049270629883,2,400,"{'layer_num': 2, 'nb_hidden': 400}",0.2098307181856816,0.1878462360453151,0.19883863166804916,0.010992241069096733,18,0.6893788138716405,0.6023845677987628,0.6458816908352016,0.04349712303643882
7,720.1265598535538,0.6663357019424438,2.63383150100708,0.0173187255859375,2,500,"{'layer_num': 2, 'nb_hidden': 500}",0.21261458860916735,0.20218778999549514,0.20740126260350394,0.005213399306320793,13,0.6997553499628751,0.6588493335616448,0.6793023417622599,0.020453008200615186
8,725.7240734100342,1.3577589988708496,2.615834593772888,0.025765538215637207,2,600,"{'layer_num': 2, 'nb_hidden': 600}",0.21202407064054915,0.20381879024774333,0.20792148812788,0.004102640195997391,11,0.721970698243537,0.7007198695202966,0.7113452838819168,0.010625414361620178
9,728.557565331459,0.5866888761520386,2.658746361732483,0.007307171821594238,2,700,"{'layer_num': 2, 'nb_hidden': 700}",0.21174287160619776,0.2141109642611121,0.21292690128578676,0.001184046327340131,10,0.7487978403374038,0.7318204825408923,0.740309161439148,0.008488678898255775
10,769.3609490394592,3.5364999771118164,2.753872513771057,0.013069987297058105,3,300,"{'layer_num': 3, 'nb_hidden': 300}",0.19565828693633097,0.19273923680436433,0.19419878239148802,0.001459525065839054,20,0.6751216220066594,0.6610989258129909,0.6681102739098251,0.007011348096834236
11,775.9027231931686,2.6663750410079956,2.790655016899109,0.026148200035095215,3,400,"{'layer_num': 3, 'nb_hidden': 400}",0.2132613463843206,0.2024971176290726,0.2078793076800284,0.0053821143770920055,12,0.7566716346626478,0.698835836001372,0.7277537353320098,0.028917899330637875
12,781.010920882225,0.5697816610336304,2.834288001060486,0.02361476421356201,3,500,"{'layer_num': 3, 'nb_hidden': 500}",0.1903436252212814,0.19192373667824025,0.1911336698414593,0.0007900557284013351,22,0.6883102274972527,0.7279399358866205,0.7081250816919367,0.01981485419468393
13,791.7594022750854,2.528665542602539,2.8699872493743896,0.03467130661010742,3,600,"{'layer_num': 3, 'nb_hidden': 600}",0.22344075136716746,0.2162762576982495,0.21985855489963388,0.0035822468341048883,7,0.8587778746412983,0.8223103312491084,0.8405441029452033,0.01823377169609497
14,796.4858146905899,3.5061806440353394,2.9130083322525024,0.000889897346496582,3,700,"{'layer_num': 3, 'nb_hidden': 700}",0.22740565772621352,0.229633587357355,0.2285196068792726,0.0011139648154606364,3,0.8568937881403674,0.8638715482751697,0.8603826682077685,0.0034888800674011122
15,837.2733753919601,4.408167719841003,2.9744064807891846,0.014784812927246094,4,300,"{'layer_num': 4, 'nb_hidden': 300}",0.21089927450733373,0.19155816765599676,0.20122885705109042,0.009670553424712609,17,0.7438485981884315,0.6734998031673815,0.7086742006779065,0.035174397510525035
16,844.6263310909271,0.4399585723876953,3.0070717334747314,0.01788806915283203,4,400,"{'layer_num': 4, 'nb_hidden': 400}",0.22017884258478151,0.21337982621453,0.21677938219724843,0.0033995081847897368,9,0.8377998369066791,0.7891569652966872,0.8134784011016831,0.02432143580499596
17,847.8795149326324,3.5717568397521973,3.0535680055618286,0.02549445629119873,4,500,"{'layer_num': 4, 'nb_hidden': 500}",0.21927900568189654,0.21922893057021597,0.21925396847808803,2.50375558378073e-05,8,0.8231770760135881,0.8047072718103372,0.8139421739119627,0.009234902101625475
18,857.8346911668777,1.442895770072937,3.0666428804397583,6.330013275146484e-05,4,600,"{'layer_num': 4, 'nb_hidden': 600}",0.23758506270906035,0.2341328984024467,0.23585900482472635,0.0017260821531362167,2,0.9165377801557664,0.8795062145019743,0.8980219973288703,0.018515782826896032
